web-1  | [05/May/2026 13:19:39] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:23:49
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Operations to perform:
web-1  |   Apply all migrations: admin, auth, contenttypes, sessions, shopify_sync, tickets
web-1  | Running migrations:
web-1  |   No migrations to apply.
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:26:00
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:29:40
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | Operations to perform:
web-1  |   Apply all migrations: admin, auth, contenttypes, sessions, shopify_sync, tickets
web-1  | Running migrations:
web-1  |   No migrations to apply.
web-1  | Performing system checks...
web-1  | 
web-1  | System check identified no issues (0 silenced).
web-1  | May 05, 2026 - 13:30:43
web-1  | Django version 5.2.13, using settings 'config.settings'
web-1  | Starting development server at http://0.0.0.0:8000/
web-1  | Quit the server with CONTROL-C.
web-1  | 
web-1  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
web-1  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
web-1  | [05/May/2026 13:32:24] "GET /admin/shopify_sync/shopifyproduct/ HTTP/1.1" 200 113670
